reg_address,reg_name,group,bit,point_name,alias_on,alias_off,parse,quantity
40,Alarms,Alarms,2,first_stg_lvl_lo,Alarm,Normal,,1
40,Alarms,Alarms,3,second_stg_lvl_lo,Alarm,Normal,,1
40,Alarms,Alarms,4,NO_FLOW,Alarm,Normal,,1
40,Oil_lvl_lo_level_low,Alarms,5,oil_lvl_lo,Alarm,Alarm,,1
40,ESD,Alarms,6,ESD,Alarm,Alarm,,1
#21,suction_PSI_HI,Alarms,0,suction_PSI_HI,Alarm,Normal,,1
#24,suction_PSI_low,Alarms,0,suction_PSI_low,Alarm,Normal,,1
#25,First_stg_PSI_HI,Alarms,0,First_stg_PSI_HI,Alarm,Normal,,1
#28,First_stg_PSI-LO,Alarms,0,First_stg_PSI-LO,Alarm,Normal,,1
#29,Second_stg_PSI_HI,Alarms,0,Second_stg_PSI_HIGH,Alarm,Normal,,1
#32,Second_stg_PSI_LO,Alarms,0,Second_stg_PSI_LO,Alarm,Normal,,1
#33,Dischg_PSI_HIGH,Alarms,0,Dischg_PSI_HIGH,Alarm,Normal,,1
#36,Dischg_PSI_LO,Alarms,0,Dischg_PSI_LO,Alarm,Normal,,1
#37,Engin_VIT_High,Alarms,0,Engin_VIT_HIGH,Alarm,Normal,,1
#41,Compress_VIT_High,Alarms,0,Compress_VIT_High,Alarm,Normal,,1
#45,Fan_VIT_High,Alarms,0,Fan_VIT_High,Alarm,Normal,,1
#49,Suct_Temp_HIgh,Alarms,0,Suct_Temp_High,Alarm,Normal,,1
#53,First_stg_Temp_HIGH,Alarms,0,First_stg_Temp_HIGH,Alarm,Normal,,1
#57,Second_stg_Temp_HIGH,Alarms,0,Second_stg_Temp_HIGH,Alarm,Normal,,1
#61,Final_Disch_Temp_HIGH,Alarms,0,Final_Dischg_Temp_HIGH,Alarm,Normal,,1
#65,Oil_Temp_HIGH,Alarms,0,Oil_Temp_HIGH,Alarm,Normal,,l
#81,Reset,Alarms,0,Reset,Alarm,Normal,,1
#97,Dischg_temp_HIGH,Alarms,0,Dischg_temp_HIGH,Alarm,Normal,,1
#111,Maint_DONE,Alarms,0,Maint_DONE,Alarm,Normal,,1
#196,Oil_PSI_Low,Alarms,0,Oil_PSI_Low,Alarm,Normal,,1
#129,RPM_Low,Alarms,0,RPM_Low,Alarm,Normal,,1
#131,RPM_High,Alarms,0,RPM_High,Alarm,Normal,,1


